Title: Low Resolution Spectral Templates for AGNs and Galaxies 
       from 0.03 - 30 microns 
Authors: Assef R.J., Kochanek C.S., Brodwin M., Cool R., Forman W., 
         Gonzalez A.H., Hickox R.C., Jones C., Le Floch E., Moustakas J., 
         Murray S.S., Stern D. 
Table: SED Templates
================================================================================
Byte-by-byte Description of file: apj332219t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units         Label Explanations
--------------------------------------------------------------------------------
   1-  7 F7.4   um            Wave  Wavlength (1)
   9- 16 F8.4   10-11mW/m2/Hz AGN   Standard AGN template; 10^-11 erg/s/cm^2/Hz
  18- 26 F9.4   10-14mW/m2/Hz AGN2  AGN 2 template; 10^-14 erg/s/cm^2/Hz (2)
  28- 37 F10.4  10-16mW/m2/Hz E     E galaxy template; 10^-16 erg/s/cm^2/Hz
  39- 50 F12.4  10-17mW/m2/Hz Sbc   Sbc galaxy template; 10^-17 erg/s/cm^2/Hz
  52- 61 F10.4  10-15mW/m2/Hz Im    Im galaxy template; 10^-15 erg/s/cm^2/Hz
--------------------------------------------------------------------------------
Note (1): All templates are normalized to be at a distance of 10 pc and to 
          have an integrated luminosity between the wavelength boundaries of 
          10^10 L_sun_.
Note (2): Derived by using the Richards et al. (2006) SED as a starting point.
--------------------------------------------------------------------------------
 0.3405   0.7974  112.2936  1091.4155   11142.6052  1798.0103 
 0.3485   0.7834  110.7925  1231.8656   12587.1292  1902.7234 
 0.3566   0.7685  109.9896  1294.5950   13801.4351  1914.9272 
 0.3649   0.7530  108.6048  1638.5214   14717.8267  2135.7713 
 0.3734   0.7371  106.6060  1772.5924   17759.8190  3401.9731 
 0.3821   0.7206  104.6571  1560.1420   19326.8493  2750.6086 
 0.3910   0.7038  102.8135  1885.4862   21762.7481  3009.6225 
 0.4001   0.6870  101.6956  3239.3785   25633.2882  3267.8451 
 0.4094   0.6706  101.3501  3993.5512   28069.7464  3448.2503 
 0.4189   0.6549  101.2034  4140.8034   30610.3102  3583.1597 
 0.4287   0.6400  101.2564  4657.7950   31390.7481  3564.5818 
 0.4387   0.6263  101.4516  5638.9598   34056.3923  3767.9241 
 0.4489   0.6184  101.7504  6690.4051   38489.2526  3909.9644 
 0.4594   0.6596  102.0968  7491.6415   40699.6561  4006.6093 
 0.4701   0.8214  102.4368  7970.8282   42681.6418  4073.7371 
 0.4810   0.9253  102.7176  8655.8269   44500.2410  4386.8485 
 0.4922   0.7823  102.8546  8814.0372   45995.7306  5017.4692 
 0.5037   0.6157  103.4461  8785.8946   48158.8081  5861.3039 
 0.5154   0.5732  104.5604  8737.3586   49257.0183  4214.4902 
 0.5274   0.5685  105.0817 10093.5722   51227.7583  4365.9907 
