# GD50  03:48:50.06 -00:58:30.4  (type DA2)
 1448.40   11.962   1.00
 1449.40   11.983   1.20
 1450.60   12.005   1.20
 1451.80   12.049   1.20
 1453.00   12.006   1.20
 1454.20   12.053   1.20
 1455.40   12.021   1.20
 1456.60   12.006   1.20
 1457.80   12.024   1.20
 1459.00   11.984   1.20
 1460.20   11.957   1.00
 1461.20   12.007   1.20
 1462.40   12.031   1.20
 1463.60   11.971   1.20
 1464.80   11.943   1.20
 1466.00   11.952   1.20
 1467.20   11.963   1.20
 1468.40   11.972   1.20
 1469.60   12.007   1.20
 1470.80   11.995   1.20
 1472.00   11.968   1.00
 1473.00   11.981   1.20
 1474.20   11.975   1.20
 1475.40   11.996   1.20
 1476.60   11.984   1.20
 1477.80   11.952   1.20
 1479.00   11.969   1.20
 1480.20   11.948   1.20
 1481.40   11.947   1.20
 1482.60   11.976   1.20
 1483.80   11.983   1.00
 1484.80   11.972   1.20
 1486.00   11.981   1.20
 1487.20   11.975   1.20
 1488.40   11.965   1.20
 1489.60   11.977   1.20
 1490.80   11.931   1.20
 1492.00   11.972   1.20
 1493.20   11.995   1.20
 1494.40   11.967   1.20
 1495.60   11.922   1.00
 1496.60   11.939   1.20
 1497.80   11.986   1.20
 1499.00   11.962   1.20
 1500.20   11.939   1.20
 1501.40   11.931   1.20
 1502.60   12.000   1.20
 1503.80   12.036   1.20
 1505.00   12.037   1.20
 1506.20   12.074   1.20
 1507.40   12.053   1.00
 1508.40   12.018   1.20
 1509.60   11.989   1.20
 1510.80   11.988   1.20
 1512.00   12.043   1.20
 1513.20   12.048   1.20
 1514.40   12.036   1.20
 1515.60   12.028   1.20
 1516.80   11.978   1.20
 1518.00   11.989   1.00
 1519.00   12.020   1.20
 1520.20   11.985   1.20
 1521.40   11.959   1.20
 1522.60   11.972   1.20
 1523.80   11.986   1.20
 1525.00   11.985   1.20
 1526.20   11.969   1.20
 1527.40   11.959   1.20
 1528.60   11.996   1.20
 1529.80   12.056   1.00
 1530.80   12.040   1.20
 1532.00   12.039   1.20
 1533.20   12.042   1.20
 1534.40   12.054   1.20
 1535.60   12.049   1.20
 1536.80   12.064   1.20
 1538.00   12.028   1.20
 1539.20   12.020   1.20
 1540.40   12.039   1.20
 1541.60   12.051   1.00
 1542.60   12.043   1.20
 1543.80   12.013   1.20
 1545.00   11.989   1.20
 1546.20   11.974   1.20
 1547.40   11.997   1.20
 1548.60   12.100   1.20
 1549.80   12.074   1.20
 1551.00   12.076   1.20
 1552.20   12.083   1.20
 1553.40   12.088   1.00
 1554.40   12.101   1.20
 1555.60   12.063   1.20
 1556.80   12.047   1.20
 1558.00   12.061   1.20
 1559.20   12.089   1.20
 1560.40   12.084   1.20
 1561.60   12.073   1.20
 1562.80   12.086   1.20
 1564.00   12.091   1.20
 1565.20   12.115   1.00
 1566.20   12.083   1.20
 1567.40   12.140   1.20
 1568.60   12.131   1.20
 1569.80   12.055   1.20
 1571.00   12.089   1.20
 1572.20   12.078   1.20
 1573.40   12.084   1.20
 1574.60   12.080   1.20
 1575.80   12.056   1.20
 1577.00   12.032   1.00
 1578.00   12.081   1.20
 1579.20   12.095   1.20
 1580.40   12.136   1.20
 1581.60   12.154   1.20
 1582.80   12.109   1.20
 1584.00   12.126   1.20
 1585.20   12.133   1.20
 1586.40   12.147   1.20
 1587.60   12.157   1.20
 1588.80   12.133   1.00
 1589.80   12.120   1.20
 1591.00   12.135   1.20
 1592.20   12.100   1.20
 1593.40   12.137   1.20
 1594.60   12.145   1.20
 1595.80   12.117   1.20
 1597.00   12.171   1.20
 1598.20   12.116   1.20
 1599.40   12.100   1.20
 1600.60   12.152   1.00
 1601.60   12.147   1.20
 1602.80   12.140   1.20
 1604.00   12.155   1.20
 1605.20   12.138   1.20
 1606.40   12.146   1.20
 1607.60   12.201   1.20
 1608.80   12.219   1.20
 1610.00   12.187   1.20
 1611.20   12.192   1.20
 1612.40   12.172   1.00
 1613.40   12.180   1.20
 1614.60   12.153   1.20
 1615.80   12.169   1.20
 1617.00   12.213   1.20
 1618.20   12.220   1.20
 1619.40   12.187   1.20
 1620.60   12.211   1.20
 1621.80   12.229   1.20
 1623.00   12.216   1.00
 1624.00   12.198   1.20
 1625.20   12.215   1.20
 1626.40   12.237   1.20
 1627.60   12.172   1.20
 1628.80   12.199   1.20
 1630.00   12.226   1.20
 1631.20   12.185   1.20
 1632.40   12.170   1.20
 1633.60   12.244   1.20
 1634.80   12.266   1.00
 1635.80   12.278   1.20
 1637.00   12.256   1.20
 1638.20   12.250   1.20
 1639.40   12.236   1.20
 1640.60   12.263   1.20
 1641.80   12.292   1.20
 1643.00   12.274   1.20
 1644.20   12.254   1.20
 1645.40   12.236   1.20
 1646.60   12.236   1.00
 1647.60   12.240   1.20
 1648.80   12.261   1.20
 1650.00   12.224   1.20
 1651.20   12.204   1.20
 1652.40   12.188   1.20
 1653.60   12.178   1.20
 1654.80   12.213   1.20
 1656.00   12.209   1.20
 1657.20   12.157   1.20
 1658.40   12.187   1.00
 1659.40   12.199   1.20
 1660.60   12.204   1.20
 1661.80   12.171   1.20
 1663.00   12.210   1.20
 1664.20   12.247   1.20
 1665.40   12.257   1.20
 1666.60   12.283   1.20
 1667.80   12.204   1.20
 1669.00   12.183   1.20
 1670.20   12.221   1.00
 1671.20   12.243   1.20
